1,霸王别姬,1993-01-01,"主演：张国荣,张丰毅,巩俐",9.6,/films/1203
2,肖申克的救赎,1994-10-14(美国),"主演：蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿",9.5,/films/1297
3,罗马假日,1953-09-02(美国),"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",9.1,/films/2641
4,这个杀手不太冷,1994-09-14(法国),"主演：让·雷诺,加里·奥德曼,娜塔莉·波特曼",9.5,/films/4055
5,教父,1972-03-24(美国),"主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",9.3,/films/1247
6,泰坦尼克号,1998-04-03,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",9.5,/films/267
7,唐伯虎点秋香,1993-07-01(中国香港),"主演：周星驰,巩俐,郑佩佩",9.2,/films/837
8,千与千寻,2001-07-20(日本),"主演：柊瑠美,入野自由,夏木真理",9.3,/films/1212
9,魂断蓝桥,1940-05-17(美国),"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",9.2,/films/2760
10,乱世佳人,1939-12-15(美国),"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",9.1,/films/7431
11,天空之城,1992,"主演：寺田农,鹫尾真知子,龟山助清",9.1,/films/1228
12,喜剧之王,1999-02-13(中国香港),"主演：周星驰,莫文蔚,张柏芝",9.2,/films/9025
13,大闹天宫,1965-12-31,"主演：邱岳峰,毕克,富润生",9.0,/films/14556
14,辛德勒的名单,1993-12-15(美国),"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",9.2,/films/3667
15,音乐之声,1965-03-02(美国),"主演：朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",9.0,/films/3103
16,剪刀手爱德华,1990-12-06(美国),"主演：约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特",8.8,/films/513
17,春光乍泄,1997-05-30(中国香港),"主演：张国荣,梁朝伟,张震",9.2,/films/1597
18,海上钢琴师,1998-10-28(意大利),"主演：蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",9.2,/films/1292
19,美丽人生,1997-12-20(意大利),"主演：罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",9.3,/films/1303
20,黑客帝国,2000-01-14,"主演：基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",9.0,/films/1249
21,加勒比海盗,2003-11-21,"主演：约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",8.9,/films/5880
22,指环王3：王者无敌,2004-03-15,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.2,/films/428
23,哈利·波特与魔法石,2002-01-26,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",9.1,/films/3606
24,无间道,2003-09-05,"主演：刘德华,梁朝伟,黄秋生",9.1,/films/224973
25,楚门的世界,1998-06-01(美国),"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",8.9,/films/1304
26,蝙蝠侠：黑暗骑士,2008-07-18(美国),"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",9.3,/films/790
27,射雕英雄传之东成西就,1993-02-05(中国香港),"主演：张国荣,梁朝伟,张学友",8.9,/films/13824
28,教父2,1974-12-12(美国),"主演：阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",9.0,/films/6641
29,指环王2：双塔奇兵,2003-04-25,"主演：伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",9.1,/films/1221
30,机器人总动员,2008-06-27(美国),"主演：本·贝尔特,艾丽莎·奈特,杰夫·格尔林",9.3,/films/488
31,天堂电影院,1988-11-17(意大利),"主演：菲利浦·诺瓦雷,赛尔乔·卡斯特利托,蒂兹亚娜·罗达托",9.2,/films/718
32,活着,1994-05-18(法国),"主演：葛优,巩俐,牛犇",9.0,/films/1375
33,拯救大兵瑞恩,1998-07-24(美国),"主演：汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",8.9,/films/733
34,哈尔的移动城堡,2004-11-20(日本),"主演：倍赏千惠子,木村拓哉,美轮明宏",9.0,/films/225980
35,盗梦空间,2010-09-01,"主演：莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",9.2,/films/416
36,东邪西毒,1994-09-17,"主演：张国荣,梁朝伟,刘嘉玲",8.9,/films/1355
37,忠犬八公的故事,2010-03-12(英国),"主演：Forest,理查·基尔,琼·艾伦",9.3,/films/38286
38,幽灵公主,1997-07-12(日本),"主演：松田洋治,石田百合子,田中裕子",8.9,/films/5357
39,搏击俱乐部,1999-10-15(美国),"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",8.8,/films/1291
